SampleNumber,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Target Label
364,3.36,7.22,1.73,2.86,0.06,1.65,0.81,0.68,0,170.7,167.6,146.8,15.84,16.9,16.24,0.08,0.02,71.3,2.6,8.1,V10
365,2.88,6.69,1.55,2.74,0.06,1.77,0.81,0.68,0,168.5,156.3,124.1,10.45,11.02,10.16,0.03,0.01,67.9,4.1,15.9,V10
366,4.28,8.09,1.89,3.26,0.06,1.72,0.82,0.69,0,174,165.4,144.6,12.49,14.97,14.85,0.06,0.01,71,4.5,8.8,V10
367,3.94,7.9,1.69,3.35,0.06,1.98,0.79,0.7,0,172.6,166.9,144,12.59,14.56,13.53,0.06,0.02,71.2,3.3,9.6,V10
368,2.6,6.55,1.27,2.93,0.04,2.31,0.76,0.7,0,181.6,168.5,131.9,11.48,17.83,20.53,0.03,0.01,72.1,4.3,17.5,V10
369,3.77,7.7,1.83,2.96,0.07,1.62,0.8,0.7,0,171.8,164,143,16.97,18.34,17.56,0.14,0.04,70.5,4.1,8.9,V10
370,3.98,7.87,1.89,3.13,0.05,1.65,0.81,0.67,0,170.1,158.4,132.2,13.19,16.19,17.03,0.07,0.02,68.8,4.7,12.5,V10
371,3.49,7.2,1.61,3.01,0.04,1.87,0.85,0.72,0,172.7,171.6,149,13.87,14.87,12.22,0.04,0.01,72.4,1.9,8.6,V10
372,3.51,7.61,1.61,3.27,0.05,2.03,0.76,0.67,0,174.1,162.5,135.3,12.33,15.74,14.36,0.06,0.02,70.2,4.7,12.7,V10
373,3.55,7.39,1.69,3.1,0.08,1.83,0.82,0.68,0,171.3,167,145.7,13.97,15.64,15.86,0.06,0.02,71.2,3,8.5,V10
374,3.67,7.46,1.85,2.88,0.07,1.55,0.83,0.69,0,175.5,169.2,143.4,11.61,13.79,14.43,0.01,0,72,3.2,11,V10
375,3.81,7.75,1.78,3.14,0.04,1.77,0.8,0.68,0,177.5,168.3,141.6,11.87,13.26,12.48,0.01,0,71.9,4.1,11.8,V10
376,3.26,6.98,1.63,2.84,0.06,1.75,0.84,0.7,0,172.8,165.2,141.1,10.11,13.46,14.26,0.01,0,70.8,3.7,10.5,V10
377,3.61,7.68,1.61,3.35,0.05,2.08,0.77,0.67,0,177.2,172.3,149.3,15.82,17.83,16.31,0.11,0.03,73,3.2,9.2,V10
378,3.56,7.44,1.7,3.07,0.07,1.8,0.81,0.68,0,170.8,168.9,147.5,13.64,15.55,14.26,0.04,0.01,71.6,2.2,8.2,V10
379,3.72,7.71,1.6,3.26,0.05,2.03,0.79,0.71,0,174.6,175.2,153.1,14.7,15.9,13.16,0.01,0,73.5,1.5,8,V10
380,3.77,7.63,1.8,3.04,0.05,1.68,0.81,0.69,0,175.1,172.1,153.7,16.06,17.04,15.81,0.06,0.02,72.9,3.1,6.6,V10
381,3.75,7.56,1.82,2.98,0.05,1.64,0.82,0.69,0,179.6,176,151.1,11.64,13.91,14.05,0.02,0.01,74.1,2.6,9.8,V10
382,3.18,6.91,1.52,2.93,0.07,1.92,0.84,0.71,0,173.7,164.4,136.6,11.73,12.69,11.09,0.02,0.01,70.6,3.9,12.7,V10
383,3.87,7.95,1.7,3.32,0.09,1.95,0.77,0.69,0,167.1,157.6,133.2,18.86,18.73,15.41,0.18,0.05,68.3,4.1,11.4,V10
384,3.66,7.56,1.61,3.27,0.07,2.03,0.8,0.7,0,176.6,169.9,146.8,12.02,14.1,13.91,0.04,0.01,72.3,3.7,9.6,V10
385,3.99,7.92,1.85,3.14,0.06,1.69,0.8,0.69,0,177.7,169.7,144,9.08,11.09,11.35,0.01,0,72.3,3.8,11.1,V10
386,3.83,7.68,1.69,3.27,0.05,1.93,0.82,0.69,0,171.3,158.2,129.7,9.93,12.68,12.53,0.02,0.01,68.8,4.9,13.9,V10
387,3.73,7.63,1.69,3.27,0.07,1.93,0.81,0.68,0,181.7,172.8,143.6,10.06,14.52,17.19,0.02,0.01,73.3,3.8,12.8,V10
388,3.63,7.44,1.78,3.01,0.07,1.7,0.83,0.68,0,175.6,162.2,126,12.98,14.95,12.6,0.07,0.02,70,4.3,17.8,V10
389,3.23,7.05,1.61,2.88,0.09,1.78,0.82,0.7,0,165.4,160.5,136.2,14.34,14.2,12.21,0.07,0.02,69,2.5,10.7,V10
390,3.71,7.61,1.68,3.18,0.05,1.89,0.8,0.69,0,170.3,158.8,132.1,19.68,21.71,21.88,0.27,0.07,68.9,4.6,12.8,V10
391,3.91,7.75,1.78,3.18,0.06,1.79,0.82,0.69,0,178,176.6,153.4,10.22,13.73,14.23,0,0,74.1,2.1,8.7,V10
392,3.86,7.75,1.89,3.04,0.04,1.61,0.81,0.67,0,180.5,174.5,151.2,12.39,14.1,14.55,0.04,0.01,73.8,3.7,9.3,V10
393,3.46,7.73,1.35,3.43,0.04,2.54,0.73,0.74,0,177.7,176.6,157.5,10.39,13.45,14.87,0.02,0.01,74.2,2.5,6.5,V10
394,2.92,6.74,1.52,2.84,0.07,1.87,0.81,0.67,0,172.3,163.5,134.7,9.71,12.59,13.09,0.05,0.02,70.2,3.5,13.2,V10
395,3.68,7.39,1.69,3.1,0.05,1.83,0.85,0.7,0,178.5,178.1,156.4,8.61,12.43,14.49,0.01,0,74.6,2,7.6,V10
396,3.78,7.63,1.89,2.91,0.07,1.54,0.82,0.69,0,178.1,173,147,7.78,10.44,11.53,0.02,0.01,73.2,2.9,10.7,V10
397,3.94,7.75,1.78,3.22,0.05,1.81,0.83,0.69,0,182.2,183.5,165.6,12.58,13.42,12.3,0.01,0,76.3,2.2,5.2,V10
398,3.43,7.39,1.63,3.11,0.05,1.91,0.79,0.68,0,171.8,168.4,148.6,12.81,14.65,14.4,0.01,0,71.6,2.9,7.6,V10
399,3.96,7.8,1.88,3.03,0.06,1.61,0.82,0.7,0,175,168.9,144.1,12.03,13,11.39,0,0,71.9,3.2,10.4,V10
400,4.17,8.02,1.86,3.27,0.06,1.75,0.82,0.69,0,171.7,169.5,152.8,14.24,16.01,14.09,0.09,0.02,72,2.9,5.8,V10
