SampleNumber,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Target Label
253,3.73,7.78,1.61,3.35,0.04,2.08,0.78,0.69,0,114.7,73.4,57.2,14.97,10.87,8.1,3.28,0.88,40.1,17.2,17.7,V7
254,3.07,6.91,1.52,2.93,0.04,1.92,0.81,0.69,0,106.6,71.9,56.9,18.34,11.61,6.26,2.61,0.85,38.6,14.4,16,V7
255,3.29,7.27,1.61,3.1,0.04,1.93,0.78,0.66,0,119.7,78.1,61.2,14.88,11.96,8.31,3.1,0.94,42.1,17.1,17.7,V7
256,3.03,6.91,1.44,3.01,0.04,2.09,0.8,0.7,0,114.6,68.5,50.3,11.31,7.24,6.11,2.67,0.88,38.7,19.4,20.2,V7
257,4.15,8.04,1.61,3.43,0.05,2.14,0.81,0.75,0,120.1,77,54.8,18.42,13.67,8.88,3.71,0.89,41.7,17.3,21.3,V7
258,3.16,7.25,1.53,3.06,0.04,2,0.75,0.68,0,116.3,73.3,54,18.24,13.61,8.11,2.67,0.85,40.2,17.7,19.9,V7
259,3,6.86,1.44,3.01,0.04,2.09,0.8,0.69,0,105.1,65.5,55.4,18.17,9.78,6.1,2.35,0.78,36.6,17.4,14.2,V7
260,2.87,6.76,1.42,2.98,0.04,2.1,0.79,0.68,0,122.7,77.1,54.1,10.19,8.69,4.29,2.8,0.97,42.1,18.3,22.2,V7
261,3.32,7.37,1.52,3.18,0.07,2.09,0.77,0.69,0,113,70.5,54.4,16.8,9.38,4.77,2.92,0.88,39.1,17.8,18.1,V7
262,3.03,6.91,1.52,2.93,0.06,1.92,0.8,0.68,0,112.4,72.2,55,15.92,9.68,7.5,2.72,0.9,39.4,16.6,18.3,V7
263,3.31,7.42,1.52,3.18,0.05,2.09,0.76,0.68,0,106.9,65.7,52.8,18.55,10.82,5.99,2.26,0.68,36.9,17.8,16.3,V7
264,3.12,6.98,1.52,3.01,0.06,1.98,0.8,0.68,0,120,77,55.3,13.31,9.01,5.62,3.01,0.97,41.7,17.3,21,V7
265,2.93,7.01,1.39,3.04,0.07,2.19,0.75,0.69,0,110.7,69.4,52.9,15.02,10.96,7.95,2.4,0.82,38.4,17.3,18.3,V7
266,3.36,7.1,1.61,3.01,0.07,1.87,0.84,0.69,0,98.2,59.1,49.9,20.9,12.89,9.84,1.68,0.5,33.8,17.5,14.2,V7
267,3,6.96,1.44,3.01,0.04,2.09,0.78,0.69,0,107.6,69.2,55.8,15.6,10.06,6.85,2.54,0.84,38,16.3,15.9,V7
268,3.52,7.42,1.52,3.18,0.05,2.09,0.8,0.73,0,104.4,64.2,52.8,17.57,11.26,8.28,2.41,0.68,36.1,17.5,15.3,V7
269,3.36,7.17,1.73,2.83,0.07,1.64,0.82,0.69,0,106.4,70.2,54.6,11.98,10.02,7.79,2.97,0.88,38,15.1,16.8,V7
270,2.91,6.84,1.44,2.93,0.04,2.04,0.78,0.69,0,129.4,82.7,58.4,15.21,12.41,6.7,2.73,0.94,44.5,18.4,22.5,V7
271,3.28,7.17,1.91,2.64,0.03,1.38,0.8,0.65,0,104.2,66.3,54.3,13,8.63,6.13,2.65,0.81,36.7,16.4,15.1,V7
272,3.28,7.13,1.52,3.01,0.05,1.98,0.81,0.72,0,124.1,80.6,57.3,14.67,11.07,5.15,3.19,0.97,43.2,17.2,21.7,V7
273,2.86,6.81,1.51,2.8,0.07,1.85,0.78,0.68,0,138.1,88.2,53.5,11.32,12.06,5.81,2.84,0.99,46.9,18.7,28.6,V7
274,2.83,6.45,1.44,2.76,0.05,1.92,0.85,0.71,0,125.1,82.9,56.2,16.92,15.05,8.89,2.64,0.93,43.9,16.3,23.4,V7
275,3.58,7.49,1.61,3.18,0.04,1.98,0.8,0.7,0,142.6,99.2,64.7,13.31,14.48,10.43,3.21,0.9,50.4,15.6,26.4,V7
276,2.98,6.81,1.61,2.76,0.07,1.71,0.81,0.67,0,129.4,84.4,58.7,11.68,11.1,7.42,2.9,0.97,44.9,17.5,23,V7
277,2.8,6.89,1.27,3.1,0.04,2.44,0.74,0.71,0,140.1,98.1,65.5,14.11,13.77,7.95,2.74,0.98,49.8,15.3,25.2,V7
278,2.87,6.62,1.44,2.84,0.04,1.98,0.82,0.7,0,127.5,82,53.6,11.84,10.92,7,2.76,0.96,44,17.6,25,V7
279,3.4,7.22,1.68,2.95,0.07,1.75,0.82,0.69,0,101.2,65.4,56.6,16.05,8.71,5.52,2.67,0.79,36.1,15.8,12.7,V7
280,2.8,6.57,1.48,2.76,0.05,1.87,0.81,0.69,0,124.2,79.1,56,16.12,12.32,7.33,2.59,0.93,42.8,18,22,V7
281,3.31,7.32,1.52,3.18,0.07,2.09,0.78,0.68,0,113.1,73.8,55.5,15,10.06,4.78,2.99,0.9,39.9,16.1,18.7,V8
282,3.32,7.37,1.52,3.18,0.04,2.09,0.77,0.69,0,124.3,84.4,60.3,15.06,12.34,6.06,3.3,0.99,44.3,15.4,21.3,V8
283,3.63,7.68,1.66,3.26,0.06,1.96,0.78,0.67,0,86.3,59.4,53.5,12.31,5.93,4.1,1.93,0.53,32.2,12.2,9.8,V8
284,3.61,7.37,1.61,3.1,0.04,1.93,0.83,0.72,0,96,60.8,51.4,18.22,10.68,6.2,1.91,0.53,33.9,15.7,13.5,V8
285,3.64,7.44,1.69,3.1,0.07,1.83,0.83,0.7,0,111.3,78.3,56.7,31,21.25,11.5,2.76,0.76,40.9,12.8,19.4,V8
286,3.89,7.83,1.61,3.35,0.04,2.08,0.8,0.72,0,98,64.3,53.5,14.47,9.19,5.34,2.61,0.67,35.2,14.7,13.8,V8
287,3.99,7.99,1.61,3.43,0.05,2.14,0.78,0.72,0,93,59.3,48.8,15.77,9.14,6.94,1.67,0.42,33,14.9,14.1,V8
288,3.56,7.73,1.52,3.43,0.03,2.26,0.75,0.68,0,89.7,57.3,49.8,13.62,8.32,6.31,1.3,0.37,32,14.7,12,V8
289,3.06,6.81,1.71,2.67,0.09,1.56,0.83,0.67,0,99.7,67.6,56.8,18.42,12.04,7.22,2.38,0.78,36.5,13.8,13.3,V8
290,3.11,7.08,1.59,2.89,0.07,1.82,0.78,0.68,0,98.8,61.6,52.8,14.51,7.93,5.08,1.96,0.63,34.6,16.6,13.3,V8
291,3.6,7.44,1.7,3,0.08,1.77,0.82,0.71,0,98.9,62.6,53.4,16.3,10.46,6.91,2.21,0.61,34.9,16.1,13.4,V8
292,3.58,7.78,1.52,3.41,0.03,2.23,0.74,0.69,0,99.6,65.2,55.6,12.17,7.16,5.1,2.82,0.79,35.8,15,13,V8
293,4.36,8.3,1.78,3.52,0.07,1.98,0.79,0.7,0,83.3,56.7,53.2,12.46,9.35,7.89,1.46,0.33,31,12.5,8.3,V8
294,3.68,7.68,1.74,3.14,0.06,1.81,0.79,0.67,0,113.7,76.1,60.6,16.74,12.12,7.68,3.37,0.91,40.7,15.5,16.4,V8
295,3.58,7.51,1.66,3.07,0.07,1.84,0.8,0.7,0,84.9,58.6,54.3,18.52,10.85,8.02,1.48,0.41,31.8,12.2,8.6,V8
296,3.48,7.54,1.52,3.27,0.04,2.14,0.77,0.7,0,81,54.3,53.3,18.22,10.19,8.18,1.02,0.29,29.9,13,6.7,V8
297,3.83,7.92,1.7,3.33,0.05,1.96,0.77,0.68,0,77,55.6,54.2,10.84,6.37,5.15,0.96,0.25,29.8,10.4,5.9,V8
298,3.96,7.95,1.61,3.43,0.06,2.14,0.79,0.72,0,79.8,54.1,52.6,15.48,7.5,6.02,0.9,0.23,29.7,12.4,6.9,V8
299,3.31,7.32,1.61,3.1,0.04,1.93,0.78,0.66,0,98.2,62.9,53.3,12.93,6.54,5.39,2.49,0.75,34.9,15.6,13.4,V8
300,3.55,7.54,1.61,3.18,0.05,1.98,0.79,0.69,0,91.4,59.5,53.1,15.25,8.95,7.46,1.79,0.51,32.9,14.5,10.9,V8
301,3.68,7.56,1.66,3.18,0.07,1.91,0.81,0.69,0,95.6,65.1,55,22.85,12.06,6.89,2.52,0.68,35.2,13.2,12.8,V8
302,3.44,7.42,1.51,3.26,0.04,2.15,0.79,0.7,0,87.5,54.5,47.9,23.9,13.56,9.82,1.15,0.34,30.8,15.3,11.8,V8
303,3.83,7.73,1.78,3.18,0.06,1.79,0.81,0.68,0,108.1,70.6,59.6,14.61,11.16,8.37,3.2,0.83,38.5,16.1,14,V8
304,2.6,6.52,1.55,2.6,0.05,1.68,0.77,0.64,0,95.6,64.7,57,19.1,13.17,9.04,1.74,0.67,35.1,13.7,11.2,V8
305,3.91,7.9,1.78,3.27,0.08,1.84,0.79,0.67,0,80.2,57.5,55.2,17.14,10.72,8.86,1.61,0.41,30.8,10.8,6.7,V8
306,3.92,7.95,1.61,3.43,0.05,2.14,0.78,0.71,0,106.6,71,58.7,10.95,7.87,6.18,3.62,0.92,38.4,15.2,14.4,V8
307,3.41,7.34,1.61,3.06,0.07,1.89,0.8,0.69,0,77.1,54.6,49,18.63,11.44,8.35,1.07,0.31,29.3,10.3,9.2,V8
308,4.13,8.16,1.69,3.43,0.04,2.03,0.78,0.71,0,98.9,65.5,53.5,15.58,9.77,7.21,3.05,0.74,35.7,14.3,14.4,V8
309,3.82,7.75,1.76,3.17,0.08,1.8,0.8,0.69,0,88.3,57.7,51.3,18.63,10.73,8.47,1.75,0.46,31.9,14,10.9,V8
310,3.34,7.22,1.6,3.09,0.04,1.92,0.81,0.67,0,96.3,63.6,57.1,16.6,9.91,5.72,1.99,0.59,34.9,14.7,10.9,V8
